"TrackId";"Name";"UnitsSold";"Milliseconds";"Lenght_Seconds";"Genre"
994;The Last Song;2;199523;199;Rock
1012;Times Like These;2;266370;266;Alternative & Punk
1089;Is This Love (Live);2;295262;295;Latin
1090;Stir It Up (Live);2;282409;282;Latin
1099;A Novidade (Live);2;316969;316;Latin
1103;Lamento De Carnaval;2;294530;294;Jazz
1112;Beira Mar;2;295444;295;Latin
1126;Re-Align;2;260884;260;Metal
1135;Holiday;2;232724;232;Alternative & Punk
1139;Give Me Novacaine;2;205871;205;Alternative & Punk
1145;Whatsername;2;252316;252;Alternative & Punk
1157;Rocket Queen;2;375349;375;Rock
1162;Perfect Crime;2;143637;143;Rock
1168;The Garden;2;322175;322;Rock
1169;Garden of Eden;2;161539;161;Rock
1180;Breakdown;2;424960;424;Metal
1192;L'Arc En Ciel De Miles;2;242390;242;Jazz
1208;For the Greater Good of God;2;564893;564;Rock
1226;Can I Play With Madness;2;282488;282;Metal
1244;The Thin Line Between Love & Hate;2;506801;506;Rock
1321;Hallowed Be Thy Name;2;447791;447;Rock
1322;The Trooper;2;232672;232;Rock
1331;Run Silent Run Deep;2;275408;275;Metal
1335;Where Eagles Dare;2;369554;369;Metal
1344;Aces High;2;269531;269;Metal
1358;Blood Brothers;2;435513;435;Metal
1367;The Number Of The Beast;2;300434;300;Rock
1371;Moonchild;2;340767;340;Metal
1377;The Clairvoyant;2;267023;267;Metal
1389;Gangland;2;228440;228;Metal
1394;The Prisoner;2;361299;361;Metal
1400;The Aftermath;2;380786;380;Rock
1401;Judgement Of Heaven;2;312476;312;Rock
1412;Don't Look To The Eyes Of A Stranger;2;483657;483;Rock
1424;Hey America;2;218226;218;R&B/Soul
1440;Whatever It Is, I Just Can't Stop;2;247222;247;Rock
1458;Light Years;2;354560;354;Electronica/Dance
1476;Take It Or Leave It;2;142889;142;Alternative & Punk
1553;You've Got Another Thing Comin';2;305162;305;Metal
1554;Turbo Lover;2;335542;335;Metal
1563;Plaster Caster;2;198060;198;Rock
1567;Sure Know Something;2;254354;254;Rock
1576;Rock And Roll All Nite;2;259631;259;Rock
1590;Walter's Walk;2;270785;270;Rock
1599;Dancing Days;2;223216;223;Rock
1603;In The Evening;2;410566;410;Rock
1609;I'm Gonna Crawl;2;329639;329;Rock
1621;Dazed and Confused;2;386063;386;Rock
1626;How Many More Times;2;508055;508;Rock
1632;Living Loving Maid (She's Just A Woman);2;159216;159;Rock
1633;Ramble On;2;275591;275;Rock
1644;Bron-Y-Aur Stomp;2;259500;259;Rock
1656;For Your Life;2;384391;384;Rock
1672;L'Avventura;2;278256;278;Latin
1690;Tempo Perdido;2;302158;302;Latin
1708;Mr. Cab Driver;2;230321;230;Rock
1785;Abraham, Martin And John;2;273057;273;R&B/Soul
1786;Save The Children;2;194821;194;R&B/Soul
1795;Down by the Sea;2;408163;408;Rock
1799;Shakes and Ladders;2;198008;198;Rock
1808;Nothing Else Matters;2;388832;388;Metal
1822;Stone Cold Crazy;2;137717;137;Metal
1831;Motorbreath;2;188395;188;Metal
1835;Phantom Lord;2;302053;302;Metal
1841;The House Jack Built;2;398942;398;Metal
1853;Battery;2;312424;312;Metal
1858;Leper Messiah;2;347428;347;Metal
1864;The Unforgiven II;2;395520;395;Metal
1865;Better Than You;2;322899;322;Metal
1876;For Whom The Bell Tolls;2;311719;311;Metal
1888;Shoot Me Again;2;430210;430;Metal
1904;The Duke;2;214961;214;Jazz
1922;Menestrel Das Alagoas;2;199758;199;Latin
1940;Norwegian Wood;2;413910;413;Latin
2017;Sangue Latino;2;223033;223;Rock
2018;Folhas Secas;2;161253;161;Rock
2027;Menino De Rua;2;329795;329;Rock
2031;Nossa Gente (Avisa Là);2;188212;188;Latin
2040;Revolta Olodum;2;230191;230;Latin
2054;Selvagem;2;148558;148;Latin
2063;Nebulosa Do Amor;2;203415;203;Latin
2067;Mensagen De Amor (2000);2;183588;183;Latin
2073;Saber Amar;2;202788;202;Latin
2085;Meu Erro;2;208431;208;Latin
2090;Romance Ideal;2;250070;250;Latin
2096;Flying High Again;2;290851;290;Rock
2097;Mama, I'm Coming Home;2;251586;251;Rock
2108;Children Of The Grave;2;357067;357;Metal
2120;Walking Into Clarksdale;2;318511;318;Rock
2136;Plot 180;2;221596;221;Soundtrack
2154;Untitled;2;122801;122;Rock
2172;Big Wave;2;178573;178;Alternative & Punk
2249;Rappers Reais;2;202004;202;Hip Hop/Rap
2250;Nega Do Cabelo Duro;2;121808;121;Hip Hop/Rap
2259;You're My Best Friend;2;172225;172;Rock
2263;Somebody To Love;2;297351;297;Rock
2272;We Are The Champions;2;182883;182;Rock
2286;Get Up;2;160235;160;Alternative & Punk
2295;Untitled;2;191503;191;Alternative & Punk
2299;Undertow;2;309498;309;Rock
2305;Binky The Doormat;2;301688;301;Rock
2317;Country Feedback;2;249782;249;Alternative & Punk
2322;So Central Rain;2;194768;194;Alternative & Punk
2328;Fall On Me;2;172016;172;Alternative & Punk
2329;I Believe;2;227709;227;Alternative & Punk
2340;Esporrei Na Manivela;2;293276;293;Alternative & Punk
2352;Que Luz É Essa;2;165067;165;Rock
2368;Under The Bridge;2;264359;264;Alternative & Punk
2386;Tear;2;317413;317;Rock
2404;Right On Time;2;112613;112;Rock
2481;Waiting;2;228336;228;Alternative & Punk
2482;Saturnine;2;229877;229;Alternative & Punk
2491;Cherub Rock;2;299389;299;Alternative & Punk
2495;Bullet With Butterfly Wings;2;257306;257;Alternative & Punk
2504;Real Love;2;250697;250;Alternative & Punk
2518;Pretty Noose;2;253570;253;Rock
2527;Starburst;2;291500;291;Jazz
2531;End Of Romanticism;2;320078;320;Jazz
2537;Travis Walk;2;140826;140;Blues
2549;Piece Of Pie;2;324623;324;Rock
2554;Soldier Side - Intro;2;63764;63;Metal
2560;Violent Pornography;2;211435;211;Metal
2561;Question!;2;200698;200;Metal
2572;Midnight From The Inside Out;2;286981;286;Blues
2584;Title Song;2;505521;505;Blues
2600;Train In Vain;2;189675;189;Alternative & Punk
2618;Speed Of Light;2;262817;262;Rock
2636;Sun King;2;368431;368;Rock
2713;Release;2;244114;244;Alternative & Punk
2714;Heaven Coming Down;2;241867;241;Alternative & Punk
2723;Gyroscope;2;177711;177;Alternative & Punk
2727;Babylon;2;292466;292;Alternative & Punk
2736;Boris The Spider;2;149472;149;Rock
2750;You Better You Bet;2;338520;338;Rock
2759;Música No Ar;2;158511;158;Latin
2763;Compadre;2;171389;171;Latin
2769;Não Quero Dinheiro;2;152607;152;Latin
2781;Comida;2;322612;322;Alternative & Punk
2786;O Pulso;2;199131;199;Alternative & Punk
2792;A Melhor Forma;2;191503;191;Alternative & Punk
2793;Cabeça Dinossauro;2;37120;37;Alternative & Punk
2804;Lugar Nenhum;2;195840;195;Alternative & Punk
2816;Toda Cor;2;209084;209;Alternative & Punk
2832;The Woman King;2;2626376;2626;Science Fiction
2850;The Fix;2;2600266;2600;Drama
2868;Walkabout;2;2587370;2587;TV Shows
2945;Peace On Earth;2;288496;288;Rock
2946;When I Look At The World;2;257776;257;Rock
2955;Everlasting Love;2;202631;202;Rock
2959;Hallelujah Here She Comes;2;242364;242;Rock
2968;City Of Blinding Lights;2;347951;347;Rock
2982;Miami;2;293041;293;Rock
2991;All Along The Watchtower;2;264568;264;Rock
2995;Pride (In The Name Of Love);2;267807;267;Rock
3001;The Star Spangled Banner;2;43232;43;Rock
3013;Sweetest Thing;2;183066;183;Rock
3018;Sunday Bloody Sunday;2;278204;278;Rock
3024;Two Hearts Beat As One;2;243487;243;Rock
3025;Red Light;2;225854;225;Rock
3036;Dirty Day;2;324440;324;Rock
3048;C'est La Vie;2;270053;270;Reggae
3064;Eruption;2;102164;102;Rock
3082;Eruption;2;102556;102;Rock
3100;Year to the Day;2;514612;514;Rock
3177;Hot Girl;2;1325458;1325;TV Shows
3200;Gay Witch Hunt;2;1326534;1326;TV Shows
3214;Phyllis's Wedding;2;1271521;1271;Comedy
3223;How to Stop an Exploding Man;2;2687103;2687;Drama
3250;Pilot;2;2484567;2484;TV Shows
3256;Give Peace a Chance;2;274644;274;Pop
3268;Beautiful Boy;2;227995;227;Pop
3280;War Pigs;2;515435;515;Rock
3432;Scheherazade, Op. 35: I. The Sea and Sindbad's Ship;2;545203;545;Classical
3446;Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat;2;561967;561;Classical
3455;Rehab;2;213240;213;R&B/Soul
3482;Suite No. 3 in D, BWV 1068: III. Gavotte I & II;2;225933;225;Classical
3488;"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""";2;142081;142;Classical
3500;"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai";2;139200;139;Classical
1;For Those About To Rock (We Salute You);1;343719;343;Rock
3;Fast As a Shark;1;230619;230;Rock
4;Restless and Wild;1;252051;252;Rock
5;Princess of the Dawn;1;375418;375;Rock
6;Put The Finger On You;1;205662;205;Rock
10;Evil Walks;1;263497;263;Rock
12;Breaking The Rules;1;263288;263;Rock
13;Night Of The Long Knives;1;205688;205;Rock
14;Spellbound;1;270863;270;Rock
15;Go Down;1;331180;331;Rock
16;Dog Eat Dog;1;215196;215;Rock
19;Problem Child;1;325041;325;Rock
21;Hell Ain't A Bad Place To Be;1;254380;254;Rock
24;Love In An Elevator;1;321828;321;Rock
25;Rag Doll;1;264698;264;Rock
26;What It Takes;1;310622;310;Rock
28;Janie's Got A Gun;1;330736;330;Rock
30;Amazing;1;356519;356;Rock
31;Blind Man;1;240718;240;Rock
36;Angel;1;307617;307;Rock
37;Livin' On The Edge;1;381231;381;Rock
38;All I Really Want;1;284891;284;Rock
39;You Oughta Know;1;249234;249;Rock
42;Right Through You;1;176117;176;Rock
43;Forgiven;1;300355;300;Rock
44;You Learn;1;239699;239;Rock
49;Wake Up;1;293485;293;Rock
53;Sea Of Sorrow;1;349831;349;Rock
54;Bleed The Freak;1;241946;241;Rock
55;I Can't Remember;1;222955;222;Rock
57;It Ain't Like That;1;277577;277;Rock
60;Confusion;1;344163;344;Rock
61;I Know Somethin (Bout You);1;261955;261;Rock
62;Real Thing;1;243879;243;Rock
67;Ligia;1;251977;251;Jazz
71;Falando De Amor;1;219663;219;Jazz
72;Angela;1;169508;169;Jazz
75;O Boto (Bôto);1;366837;366;Jazz
76;Canta, Canta Mais;1;271856;271;Jazz
78;Master Of Puppets;1;436453;436;Metal
80;The Unforgiven;1;322925;322;Metal
85;Cochise;1;222380;222;Rock
89;Like a Stone;1;294034;294;Rock
90;Set It Off;1;263262;263;Rock
93;Exploder;1;206053;206;Rock
94;Hypnotize;1;206628;206;Rock
98;The Last Remaining Light;1;317492;317;Rock
99;Your Time Has Come;1;255529;255;Alternative & Punk
102;Doesn't Remind Me;1;255869;255;Alternative & Punk
103;Drown Me Slowly;1;233691;233;Alternative & Punk
107;Yesterday To Tomorrow;1;273763;273;Alternative & Punk
108;Dandelion;1;278125;278;Alternative & Punk
111;Money;1;147591;147;Rock And Roll
112;Long Tall Sally;1;106396;106;Rock And Roll
116;C'Mon Everybody;1;140199;140;Rock And Roll
117;Rock 'N' Roll Music;1;141923;141;Rock And Roll
120;Carol;1;143830;143;Rock And Roll
121;Good Golly Miss Molly;1;106266;106;Rock And Roll
125;"Spanish moss-""A sound portrait""-Spanish moss";1;248084;248;Jazz
126;Moon germs;1;294060;294;Jazz
129;Solo-Panhandler;1;246151;246;Jazz
130;Do what cha wanna;1;274155;274;Jazz
134;All For You;1;235833;235;Metal
135;Super Terrorizer;1;319373;319;Metal
138;Bored To Tears;1;247327;247;Metal
139;A.N.D.R.O.T.A.Z.;1;266266;266;Metal
143;The Begining... At Last;1;365662;365;Metal
144;Heart Of Gold;1;194873;194;Metal
147;Blood In The Wall;1;284368;284;Metal
148;The Beginning...At Last;1;271960;271;Metal
152;N.I.B.;1;368770;368;Metal
153;Evil Woman;1;204930;204;Metal
157;Tomorrow's Dream;1;192496;192;Metal
163;Laguna Sunrise;1;173087;173;Metal
165;Under The Sun/Every Day Comes and Goes;1;350458;350;Metal
166;Smoked Pork;1;47333;47;Alternative & Punk
167;Body Count's In The House;1;204251;204;Alternative & Punk
169;Body Count;1;317936;317;Alternative & Punk
170;A Statistic;1;6373;6;Alternative & Punk
173;KKK Bitch;1;173008;173;Alternative & Punk
179;Evil Dick;1;239020;239;Alternative & Punk
180;Body Count Anthem;1;166426;166;Alternative & Punk
183;King In Crimson;1;283167;283;Metal
185;The Tower;1;285257;285;Metal
186;Killing Floor;1;269557;269;Metal
187;Book Of Thel;1;494393;494;Metal
188;Gates Of Urizen;1;265351;265;Metal
189;Jerusalem;1;402390;402;Metal
190;Trupets Of Jericho;1;359131;359;Metal
191;Machine Men;1;341655;341;Metal
192;The Alchemist;1;509413;509;Metal
193;Realword;1;237531;237;Metal
194;First Time I Met The Blues;1;140434;140;Blues
195;Let Me Love You Baby;1;175386;175;Blues
196;Stone Crazy;1;433397;433;Blues
199;Leave My Girl Alone;1;204721;204;Blues
202;My Time After Awhile;1;182491;182;Blues
205;Jorge Da Capadócia;1;177397;177;Latin
206;Prenda Minha;1;99369;99;Latin
208;Terra;1;482429;482;Latin
209;Eclipse Oculto;1;221936;221;Latin
210;"Texto ""Verdade Tropical""";1;84088;84;Latin
213;Saudosismo;1;144326;144;Latin
214;Carolina;1;181812;181;Latin
215;Sozinho;1;190589;190;Latin
216;Esse Cara;1;223111;223;Latin
218;Linha Do Equador;1;299337;299;Latin
219;Odara;1;141270;141;Latin
221;Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu;1;307252;307;Latin
222;Vida Boa;1;281730;281;Latin
223;Sozinho (Hitmakers Classic Mix);1;436636;436;Latin
225;Sozinho (Caêdrum 'n' Bass);1;328071;328;Latin
228;Vai Passar;1;369763;369;Latin
230;Bye, Bye Brasil;1;283402;283;Latin
231;Atras Da Porta;1;189675;189;Latin
232;Tatuagem;1;172120;172;Latin
233;O Que Será (À Flor Da Terra);1;167288;167;Latin
235;Apesar De Você;1;234501;234;Latin
236;A Banda;1;132493;132;Latin
237;Minha Historia;1;182256;182;Latin
238;Com Açúcar E Com Afeto;1;175386;175;Latin
242;Trocando Em Miúdos;1;169717;169;Latin
244;Gota D'água;1;153208;153;Latin
245;Construção / Deus Lhe Pague;1;383059;383;Latin
246;Mateus Enter;1;33149;33;Latin
247;O Cidadão Do Mundo;1;200933;200;Latin
248;Etnia;1;152555;152;Latin
251;Um Passeio No Mundo Livre;1;240091;240;Latin
253;Maracatu Atômico;1;284264;284;Latin
256;Sobremesa;1;240091;240;Latin
257;Manguetown;1;194560;194;Latin
258;Um Satélite Na Cabeça;1;126615;126;Latin
260;Sangue De Bairro;1;132231;132;Latin
262;Interlude Zumbi;1;71627;71;Latin
263;Criança De Domingo;1;208222;208;Latin
268;Maracatu Atômico [Trip Hop];1;221492;221;Latin
269;Banditismo Por Uma Questa;1;307095;307;Latin
270;Banditismo Por Uma Questa;1;243644;243;Latin
271;Rios Pontes & Overdrives;1;286720;286;Latin
274;Samba Makossa;1;271856;271;Latin
275;Da Lama Ao Caos;1;251559;251;Latin
276;Maracatu De Tiro Certeiro;1;88868;88;Latin
281;Computadores Fazem Arte;1;404323;404;Latin
285;Soldado Da Paz;1;194220;194;Reggae
286;Firmamento;1;222145;222;Reggae
287;Extra;1;304352;304;Reggae
289;Podes Crer;1;232280;232;Reggae
292;Já Foi;1;221544;221;Reggae
293;Onde Você Mora?;1;256026;256;Reggae
294;Pensamento;1;173008;173;Reggae
299;Onde Você Mora?;1;298396;298;Reggae
303;Falar A Verdade;1;244950;244;Reggae
304;Firmamento;1;225488;225;Reggae
307;Doutor;1;178155;178;Reggae
308;Na Frente Da TV;1;289750;289;Reggae
310;Sábado A Noite;1;267363;267;Reggae
312;Eu Também Quero Beijar;1;211147;211;Reggae
317;Amor Demais;1;254040;254;Latin
321;Felicidade Urgente;1;266605;266;Latin
322;Livre Pra Viver;1;214595;214;Latin
325;TriboTchan;1;194194;194;Pop
326;Tapa Aqui, Descobre Ali;1;188630;188;Pop
330;Levada do Amor (Ailoviu);1;190093;190;Pop
331;Lavadeira;1;214256;214;Pop
334;Reggae Tchan;1;206654;206;Pop
335;My Love;1;203493;203;Pop
339;Communication Breakdown;1;192653;192;Rock
340;Dazed and Confused;1;401920;401;Rock
343;Communication Breakdown(2);1;161149;161;Rock
344;Travelling Riverside Blues;1;312032;312;Rock
348;I Can't Quit You Baby(2);1;380551;380;Rock
349;You Shook Me(2);1;619467;619;Rock
352;Carolina Hard-Core Ecstasy;1;359680;359;Rock
353;Sam With The Showing Scalp Flat Top;1;171284;171;Rock
357;Advance Romance;1;677694;677;Rock
358;Man With The Woman Head;1;88894;88;Rock
361;X-9 2001;1;273920;273;Soundtrack
362;Gavioes 2001;1;282723;282;Soundtrack
366;Camisa Verde 2001;1;283454;283;Soundtrack
367;Leandro De Itaquera 2001;1;274808;274;Soundtrack
370;Ipiranga 2001;1;248293;248;Soundtrack
371;Morro Da Casa Verde 2001;1;284708;284;Soundtrack
375;Mas Que Nada;1;248398;248;Latin
376;Vôo Sobre o Horizonte;1;225097;225;Latin
379;Água de Beber;1;146677;146;Latin
380;Samba da Bençaco;1;282200;282;Latin
384;Mistério da Raça;1;184320;184;Latin
385;All Star;1;176326;176;Latin
389;Maria Fumaça;1;141008;141;Latin
395;Eu Vim Da Bahia - Live;1;157988;157;Latin
397;Linha Do Horizonte;1;279484;279;Latin
398;Only A Dream In Rio;1;371356;371;Latin
399;Abrir A Porta;1;271960;271;Latin
401;Momentos Que Marcam;1;280137;280;Latin
402;Um Jantar Pra Dois;1;237714;237;Latin
405;Santo Antonio;1;162716;162;Latin
411;Turn The Page;1;366524;366;Metal
412;Die Die My Darling;1;149315;149;Metal
415;Astronomy;1;397531;397;Metal
417;Tuesday's Gone;1;545750;545;Metal
418;The More I See;1;287973;287;Metal
419;A Kind Of Magic;1;262608;262;Rock
420;Under Pressure;1;236617;236;Rock
421;Radio GA GA;1;343745;343;Rock
422;I Want It All;1;241684;241;Rock
423;I Want To Break Free;1;259108;259;Rock
424;Innuendo;1;387761;387;Rock
425;It's A Hard Life;1;249417;249;Rock
426;Breakthru;1;249234;249;Rock
427;Who Wants To Live Forever;1;297691;297;Rock
428;Headlong;1;273057;273;Rock
431;The Invisible Man;1;238994;238;Rock
434;The Show Must Go On;1;263784;263;Rock
437;Black Diamond;1;314148;314;Rock
438;Hard Luck Woman;1;216032;216;Rock
440;Love Gun;1;196257;196;Rock
441;Deuce;1;185077;185;Rock
442;Goin' Blind;1;216215;216;Rock
445;She;1;248346;248;Rock
446;I Was Made For Loving You;1;271360;271;Rock
447;Shout It Out Loud;1;219742;219;Rock
448;God Of Thunder;1;255791;255;Rock
450;Beth;1;166974;166;Rock
451;Strutter;1;192496;192;Rock
453;Cold Gin;1;262243;262;Rock
454;Plaster Caster;1;207333;207;Rock
455;God Gave Rock 'n' Roll To You;1;320444;320;Rock
457;De La Luz;1;315219;315;Jazz
460;Playtime;1;273580;273;Jazz
462;Valentino's;1;296124;296;Jazz
463;Believe;1;310778;310;Jazz
464;As We Sleep;1;316865;316;Jazz
465;When Evening Falls;1;298135;298;Jazz
467;Best Thing;1;274259;274;Jazz
468;Maria;1;167262;167;Alternative & Punk
469;Poprocks And Coke;1;158354;158;Alternative & Punk
470;Longview;1;234083;234;Alternative & Punk
474;She;1;134164;134;Alternative & Punk
476;Geek Stink Breath;1;135888;135;Alternative & Punk
477;Brain Stew;1;193149;193;Alternative & Punk
478;Jaded;1;90331;90;Alternative & Punk
479;Walking Contradiction;1;151170;151;Alternative & Punk
480;Stuck With Me;1;135523;135;Alternative & Punk
483;Redundant;1;198164;198;Alternative & Punk
485;Minority;1;168803;168;Alternative & Punk
488;Macy's Day Parade;1;213420;213;Alternative & Punk
489;Into The Light;1;76303;76;Rock
490;River Song;1;439510;439;Rock
492;Don't You Cry;1;347036;347;Rock
494;Slave;1;291892;291;Rock
495;Cry For Love;1;293015;293;Rock
500;Wherever You May Go;1;239699;239;Rock
501;Grito De Alerta;1;202213;202;Latin
502;Não Dá Mais Pra Segurar (Explode Coração);1;219768;219;Latin
503;Começaria Tudo Outra Vez;1;196545;196;Latin
506;Diga Lá, Coração;1;255921;255;Latin
507;Lindo Lago Do Amor;1;249678;249;Latin
508;Eu Apenas Queria Que Voçê Soubesse;1;155637;155;Latin
513;Ponto De Interrogação;1;180950;180;Latin
517;Um Indio;1;195944;195;Latin
518;Podres Poderes;1;259761;259;Latin
519;Voce Nao Entende Nada - Cotidiano;1;421982;421;Latin
521;Menino Do Rio;1;147670;147;Latin
524;Queixa;1;299676;299;Latin
525;O Leaozinho;1;184398;184;Latin
526;Fora Da Ordem;1;354011;354;Latin
531;Top Top;1;146938;146;Alternative & Punk
535;Chão De Estrelas;1;284813;284;Alternative & Punk
536;Vida De Cachorro;1;195186;195;Alternative & Punk
539;Rita Lee;1;189257;189;Alternative & Punk
540;Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll;1;222955;222;Alternative & Punk
542;Meu Refrigerador Não Funciona;1;382981;382;Alternative & Punk
544;Stormbringer;1;277133;277;Rock
549;You Fool No One;1;804101;804;Rock
553;Houses Of The Holy;1;242494;242;Rock
554;Trampled Under Foot;1;336692;336;Rock
557;Beija-Flor;1;327000;327;Latin
558;Viradouro;1;344320;344;Latin
562;Mangueira;1;298318;298;Latin
563;União Da Ilha;1;330945;330;Latin
566;Caprichosos;1;351320;351;Latin
567;Tradição;1;269165;269;Latin
571;Love Of My Life;1;347820;347;Rock
572;Put Your Lights On;1;285178;285;Rock
575;Do You Like The Way;1;354899;354;Rock
576;Maria Maria;1;262635;262;Rock
580;El Farol;1;291160;291;Rock
581;Primavera;1;378618;378;Rock
584;Manuel;1;230269;230;Latin
585;Entre E Ouça;1;286302;286;Latin
589;Um Love;1;181603;181;Latin
590;Seis Da Tarde;1;238445;238;Latin
593;Do You Have Other Loves?;1;295235;295;Latin
594;Agora Que O Dia Acordou;1;323213;323;Latin
598;Jeru;1;193410;193;Jazz
599;Compulsion;1;345025;345;Jazz
602;'Round Midnight;1;357459;357;Jazz
603;Bye Bye Blackbird;1;476003;476;Jazz
607;So What;1;564009;564;Jazz
608;The Pan Piper;1;233769;233;Jazz
611;E.S.P.;1;330684;330;Jazz
612;Nefertiti;1;473495;473;Jazz
616;Black Satin;1;316682;316;Jazz
617;Jean Pierre (Live);1;243461;243;Jazz
621;Going Down / Highway Star;1;913658;913;Rock
627;Let Me Off Uptown;1;187637;187;Jazz
629;Opus No.1;1;179800;179;Jazz
630;Boogie Blues;1;204199;204;Jazz
631;How High The Moon;1;201430;201;Jazz
633;Up An' Atom;1;179565;179;Jazz
634;Bop Boogie;1;189596;189;Jazz
637;Overtime;1;163030;163;Jazz
643;Jungle Drums;1;199627;199;Jazz
644;Showcase;1;201560;201;Jazz
647;Pot-Pourri N.º 4;1;392437;392;Bossa Nova
649;Samba Da Volta;1;170631;170;Bossa Nova
650;Canto De Ossanha;1;204956;204;Bossa Nova
651;Pot-Pourri N.º 5;1;219898;219;Bossa Nova
652;Formosa;1;137482;137;Bossa Nova
653;Como É Duro Trabalhar;1;226168;226;Bossa Nova
654;Minha Namorada;1;244297;244;Bossa Nova
655;Por Que Será;1;162142;162;Bossa Nova
656;Berimbau;1;190667;190;Bossa Nova
657;Deixa;1;179826;179;Bossa Nova
658;Pot-Pourri N.º 2;1;211748;211;Bossa Nova
659;Samba Em Prelúdio;1;212636;212;Bossa Nova
660;Carta Ao Tom 74;1;162560;162;Bossa Nova
663;Chão de Giz (Elba Ramalho);1;274834;274;Latin
666;Coração do Agreste (Fafá de Belém);1;258194;258;Latin
669;Caçador de Mim (Sá & Guarabyra);1;238341;238;Latin
670;Romaria (Renato Teixeira);1;244793;244;Latin
672;Wave (Os Cariocas);1;130063;130;Latin
673;Garota de Ipanema (Dick Farney);1;174367;174;Latin
674;Preciso Apender a Viver Só (Maysa);1;143464;143;Latin
